0.0 0.0 0.0
0.01 0.106023602799 0.10557373037
0.02 0.211962420391 0.210163392621
0.03 0.317816520347 0.313769771006
0.04 0.423585970888 0.41639365734
0.05 0.529270839705 0.518035837301
0.06 0.634871194437 0.618697095937
0.07 0.740387102669 0.718378217673
0.08 0.84581863193 0.81707998631
0.09 0.951165849698 0.91480318502
0.1 1.05642882339 1.01154859635
0.11 1.16160762039 1.1073170022
0.12 1.26670230799 1.20210918388
0.13 1.37171295347 1.29592592205
0.14 1.47663962402 1.38876799673
0.15 1.5814823868 1.48063618734
0.16 1.68624130892 1.5715312727
0.17 1.79091645741 1.661454031
0.18 1.89550789927 1.75040523979
0.19 2.00001570144 1.83838567598
0.2 2.1044399308 1.92539611587
0.21 2.20878065419 2.01143733515
0.22 2.31303793837 2.09651010886
0.23 2.41721185008 2.18061521143
0.24 2.52130245599 2.26375341674
0.25 2.62530982271 2.34592549801
0.26 2.72923401681 2.42713222783
0.27 2.83307510481 2.50737437816
0.28 2.93683315316 2.58665272035
0.29 3.04050822826 2.66496802512
0.3 3.14410039647 2.74232106258
0.31 3.24760972408 2.81871260222
0.32 3.35103627734 2.894143413
0.33 3.45438012245 2.96861426318
0.34 3.55764132555 3.04212592042
0.35 3.66081995272 3.11467915178
0.36 3.76391607 3.18627472366
0.37 3.86692974336 3.25691340189
0.38 3.96986103874 3.32659595164
0.39 4.072710022 3.39532313746
0.4 4.17547675899 3.46309572354
0.41 4.27816131547 3.52991447314
0.42 4.38076375715 3.59578014903
0.43 4.48328414971 3.66069351336
0.44 4.58572255874 3.72465532767
0.45 4.68807904982 3.78766635287
0.46 4.79035368846 3.84972734928
0.47 4.89254654011 3.9108390768
0.48 4.9946576702 3.97100229471
0.49 5.09668714408 4.03021776154
0.5 5.19863502705 4.08848623519
0.51 5.30050138436 4.14580847296
0.52 5.40228628121 4.20218523152
0.53 5.50398978273 4.25761726696
0.54 5.60561195401 4.31210533475
0.55 5.7071528601 4.36565018974
0.56 5.80861256597 4.41825258619
0.57 5.90999113656 4.46991327776
0.58 6.01128863675 4.52063301747
0.59 6.11250513137 4.57041255778
0.6 6.21364068519 4.61925265051
0.61 6.31469536294 4.66715404689
0.62 6.41566922929 4.71411749754
0.63 6.51656234887 4.76014375249
0.64 6.61737478623 4.80523356116
0.65 6.7181066059 4.84938767237
0.66 6.81875787234 4.89260683432
0.67 6.91932864996 4.93489179463
0.68 7.01981900313 4.97624330033
0.69 7.12022899615 5.01666209781
0.7 7.22055869328 5.05614893291
0.71 7.32080815873 5.09470455083
0.72 7.42097745666 5.13232969619
0.73 7.52106665116 5.16902511301
0.74 7.62107580629 5.20479154472
0.75 7.72100498604 5.23962973414
0.76 7.82085425438 5.2735404235
0.77 7.92062367519 5.30652435444
0.78 8.02031331231 5.33858226799
0.79 8.11992322957 5.36971490468
0.8 8.21945349073 5.39992300482
0.81 8.31890415949 5.42920730778
0.82 8.41827529952 5.45756855231
0.83 8.5175669744 5.48500747654
0.84 8.61677924768 5.51152481803
0.85 8.71591218286 5.53712131375
0.86 8.81496584338 5.56179770008
0.87 8.91394029263 5.58555471282
0.88 9.01283559397 5.60839308717
0.89 9.11165181068 5.63031355777
0.9 9.210389006 5.65131685864
0.91 9.30904724314 5.67140372324
0.92 9.40762658522 5.69057488444
0.93 9.50612709535 5.70883107453
0.94 9.60454883657 5.72617302522
0.95 9.70289187187 5.74260146762
0.96 9.80115626418 5.75811713228
0.97 9.89934207641 5.77272074917
0.98 9.9974493714 5.78641304766
